departure_code,departure_city,departure_country,departure_country_code,departure_latitude,departure_longitude,arrival_code,arrival_city,arrival_country,arrival_country_code,arrival_latitude,arrival_longitude,distance_miles,duration_seconds
BOS,Boston,"United States",US,42.369999,-71.019997,SFO,"San Francisco","United States",US,37.619999,-122.389999,2697,22740
SFO,"San Francisco","United States",US,37.619999,-122.389999,CLT,Charlotte,"United States",US,35.220001,-80.940002,2292,18960
CLT,Charlotte,"United States",US,35.220001,-80.940002,BDL,Hartford,"United States",US,41.93,-72.68,643,6600
SFO,"San Francisco","United States",US,37.619999,-122.389999,ORD,Chicago,"United States",US,41.98,-87.900002,1843,15360
ORD,Chicago,"United States",US,41.98,-87.900002,IAD,"Washington DC","United States",US,38.950001,-77.449997,587,10800
IAD,"Washington DC","United States",US,38.950001,-77.449997,ITH,Ithaca,"United States",US,42.490002,-76.459999,250,3960
IAD,"Washington DC","United States",US,38.950001,-77.449997,ITH,Ithaca,"United States",US,42.490002,-76.459999,250,5100
IAD,"Washington DC","United States",US,38.950001,-77.449997,DEN,Denver,"United States",US,39.849998,-104.669998,1449,12180
DEN,Denver,"United States",US,39.849998,-104.669998,SYR,Syracuse,"United States",US,43.110001,-76.110001,1488,12060
JFK,"New York","United States",US,40.639999,-73.790001,DOH,Doha,Qatar,QA,25.26,51.610001,6693,42660
DOH,Doha,Qatar,QA,25.26,51.610001,JFK,"New York","United States",US,40.639999,-73.790001,6693,49140
ITH,Ithaca,"United States",US,42.490002,-76.459999,IAD,"Washington DC","United States",US,38.950001,-77.449997,250,4980
IAD,"Washington DC","United States",US,38.950001,-77.449997,ORD,Chicago,"United States",US,41.98,-87.900002,587,7560
ORD,Chicago,"United States",US,41.98,-87.900002,BDL,Hartford,"United States",US,41.93,-72.68,781,8820
ORD,Chicago,"United States",US,41.98,-87.900002,ATL,Atlanta,"United States",US,33.639999,-84.440002,606,5760
ATL,Atlanta,"United States",US,33.639999,-84.440002,SYR,Syracuse,"United States",US,43.110001,-76.110001,794,8100
SYR,Syracuse,"United States",US,43.110001,-76.110001,ORD,Chicago,"United States",US,41.98,-87.900002,605,9360
ORD,Chicago,"United States",US,41.98,-87.900002,BDL,Hartford,"United States",US,41.93,-72.68,781,7680
BDL,Hartford,"United States",US,41.93,-72.68,ATL,Atlanta,"United States",US,33.639999,-84.440002,859,11940
ATL,Atlanta,"United States",US,33.639999,-84.440002,ORD,Chicago,"United States",US,41.98,-87.900002,606,7440
ORD,Chicago,"United States",US,41.98,-87.900002,EWR,Newark,"United States",US,40.689999,-74.18,716,7860
EWR,Newark,"United States",US,40.689999,-74.18,LAX,"Los Angeles","United States",US,33.939999,-118.410004,2448,21240
LAX,"Los Angeles","United States",US,33.939999,-118.410004,LAS,"Las Vegas","United States",US,36.080002,-115.150002,236,3900
LAS,"Las Vegas","United States",US,36.080002,-115.150002,DTW,Detroit,"United States",US,42.209999,-83.360001,1744,13860
DTW,Detroit,"United States",US,42.209999,-83.360001,EWR,Newark,"United States",US,40.689999,-74.18,487,5700
JFK,"New York","United States",US,40.639999,-73.790001,LHR,London,"United Kingdom",GB,51.470001,-0.45,3443,24780
LHR,London,"United Kingdom",GB,51.470001,-0.45,BCN,Barcelona,Spain,ES,41.299999,2.08,713,8640
BCN,Barcelona,Spain,ES,41.299999,2.08,LHR,London,"United Kingdom",GB,51.470001,-0.45,713,7680
LHR,London,"United Kingdom",GB,51.470001,-0.45,JFK,"New York","United States",US,40.639999,-73.790001,3443,28260
JFK,"New York","United States",US,40.639999,-73.790001,SFO,"San Francisco","United States",US,37.619999,-122.389999,2580,24060
PMI,"Palma de Mallorca",Spain,ES,39.549999,2.73,BCN,Barcelona,Spain,ES,41.299999,2.08,126,3300
BCN,Barcelona,Spain,ES,41.299999,2.08,PMI,"Palma de Mallorca",Spain,ES,39.549999,2.73,126,2340
SFO,"San Francisco","United States",US,37.619999,-122.389999,JFK,"New York","United States",US,40.639999,-73.790001,2580,23220
LGA,"New York","United States",US,40.77,-73.870003,ORD,Chicago,"United States",US,41.98,-87.900002,731,8520
ORD,Chicago,"United States",US,41.98,-87.900002,LGA,"New York","United States",US,40.77,-73.870003,731,9780
LGA,"New York","United States",US,40.77,-73.870003,ORD,Chicago,"United States",US,41.98,-87.900002,731,9660
ORD,Chicago,"United States",US,41.98,-87.900002,LGA,"New York","United States",US,40.77,-73.870003,731,8040
JFK,"New York","United States",US,40.639999,-73.790001,SFO,"San Francisco","United States",US,37.619999,-122.389999,2580,20460
SFO,"San Francisco","United States",US,37.619999,-122.389999,JFK,"New York","United States",US,40.639999,-73.790001,2580,19320
LGA,"New York","United States",US,40.77,-73.870003,ORD,Chicago,"United States",US,41.98,-87.900002,731,9720
JFK,"New York","United States",US,40.639999,-73.790001,ATL,Atlanta,"United States",US,33.639999,-84.440002,759,11280
ATL,Atlanta,"United States",US,33.639999,-84.440002,BDL,Hartford,"United States",US,41.93,-72.68,859,9180
